Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	latitude	longitude
MG659746.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA103/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA103/10 segment M, complete sequence	2010		SA103/10	rvf		
PV231440.1	Rift Valley fever virus	GenBank						23-MAR-2025	BOT_CAP/2020/2112_S4	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1071	complete		S					caprine		2020			Rift Valley fever virus isolate BOT_CAP/2020/2112_S4 segment L, complete sequence	2020		BOT_CAP/2020/2112_S4	rvf		
PP746385.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P110	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1636	partial		S					Bos taurus		2022-12-09			Rift Valley fever virus strain Rwanda2022P110 nonstructural protein gene, complete cds; and nucleocapsid gene, partial cds	2022-12-09		Rwanda2022P110	rvf		
AF134545.1	Rift Valley fever virus	GenBank						26-JUL-2016	Ar Mg 990	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	142	partial		unknown										Rift Valley fever virus S segment strain Ar Mg 990 nucleocapsid protein (N) gene, partial cds			Ar Mg 990	rvf		
MK134834.1	Phlebovirus riftense	GenBank						16-DEC-2019	RV2613-1/RSA/2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					ovine		14-May-2018			Phlebovirus riftense isolate RV2613-1/RSA/2018 segment L, complete sequence	2018-05-14		RV2613-1/RSA/2018	rvf		
GQ443254.1	Rift Valley fever virus	GenBank						25-JUL-2016	2032-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	25-May-2008			Rift Valley fever virus strain 2032-08 segment M glycoprotein G2 gene, partial cds	2008-05-25		2032-08	rvf		
PP746375.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P86	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3797	partial		M					Bos taurus		2022-06-28			Rift Valley fever virus strain Rwanda2022P86 glycoprotein gene, partial cds	2022-06-28		Rwanda2022P86	rvf		
MH753239.1	Phlebovirus riftense	GenBank						02-FEB-2019	SA344-18	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1037	partial		S					Homo sapiens	whole blood	21-May-2018			Phlebovirus riftense isolate SA344-18 polymerase gene, partial cds	2018-05-21		SA344-18	rvf		
ON060804.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902747_S|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1670	partial		S			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902747_S|Uganda|2018 nonstructural protein and nucleocapsid protein genes, complete cds	2018	Uganda	201902747_S|Uganda|2018	rvf	1.3733	32.2903
PP746343.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P100	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3561	partial		M					Bos taurus		2022-07-31			Rift Valley fever virus strain Rwanda2022P100 glycoprotein gene, partial cds	2022-07-31		Rwanda2022P100	rvf		
ON060780.1	Rift Valley fever virus	GenBank						25-MAR-2023	201900879_S|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1680	partial		S			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201900879_S|Uganda|2018 nonstructural protein and nucleocapsid protein genes, complete cds	2018	Uganda	201900879_S|Uganda|2018	rvf	1.3733	32.2903
KY196496.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1222/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA1222/10 segment S, complete sequence	2010		SA1222/10	rvf		
PP746439.1	Rift Valley fever virus	GenBank						12-FEB-2025	KEM-BR	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Homo sapiens		03-Jan-2007			Rift Valley fever virus strain KEM-BR glycoprotein gene, partial cds	2007-01-03		KEM-BR	rvf		
KY126707.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU152/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2008			Rift Valley fever virus isolate SPU152/08 segment M, complete sequence	2008		SPU152/08	rvf		
PP747232.1	Rift Valley fever virus	GenBank						15-JAN-2025	Rwanda2018RU1-SE	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6232	partial		L					Bos taurus		01-Jan-2018			Rift Valley fever virus strain Rwanda2018RU1-SE polymerase gene, partial cds	2018-01-01		Rwanda2018RU1-SE	rvf		
M33092.1	Rift Valley fever virus	GenBank						03-AUG-1993	Zimbabwian isolate ZIM64 (2250/74)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	90	partial		unknown										Rift Valley fever virus (Zimbabwian isolate ZIM64 (2250/74)) M segment nonstructural glycoprotein gene, partial cds			Zimbabwian isolate ZIM64 (2250/74)	rvf		
ON060788.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902733_M|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3848	partial		M			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902733_M|Uganda|2018 glycoprotein gene, complete cds	2018	Uganda	201902733_M|Uganda|2018	rvf	1.3733	32.2903
M33073.1	Rift Valley fever virus	GenBank						03-AUG-1993	Egyptian isolate 900060	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	90	partial		unknown			Egypt							Rift Valley fever virus (Egyptian isolate 900060) M segment nonstructural glycoprotein gene, partial cds		Egypt	Egyptian isolate 900060	rvf	26.8206	30.8025
HE687306.1	Rift Valley fever virus	GenBank						07-JUN-2012	2008/00101	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	partial		M					Homo sapiens	Human serum	20-Mar-2008			Rift Valley fever virus complete M segment, strain 2008/00101, genomic RNA	2008-03-20		2008/00101	rvf		
EU574021.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000618	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		29-Jan-2007			Rift Valley fever virus strain 2007000618 segment L, complete sequence	2007-01-29		2007000618	rvf		
KY196508.1	Rift Valley fever virus	GenBank						13-NOV-2020	An1830	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					ovine		1956			Rift Valley fever virus isolate An1830 segment S, complete sequence	1956		An1830	rvf		
EU574004.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007004194	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		14-May-2007			Rift Valley fever virus strain 2007004194 segment L, complete sequence	2007-05-14		2007004194	rvf		
M33096.1	Rift Valley fever virus	GenBank						03-AUG-1993	Zimbabwian isolate ZIM34 (763/70)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	90	partial		unknown										Rift Valley fever virus (Zimbabwian isolate ZIM34 (763/70)) M segment nonstructural glycoprotein gene, partial cds			Zimbabwian isolate ZIM34 (763/70)	rvf		
KF648857.1	Rift Valley fever virus	GenBank						10-MAR-2014	227595	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	581	partial		unknown					Homo sapiens		02-Nov-2012			Rift Valley fever virus isolate 227595 nonstructural protein (NSs) gene, partial cds	2012-11-02		227595	rvf		
MG659778.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA632/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA632/10 segment M, complete sequence	2010		SA632/10	rvf		
GQ443161.1	Rift Valley fever virus	GenBank						25-JUL-2016	0895-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0895-08 segment S nonstructural protein gene, partial cds	2008-03-26		0895-08	rvf		
JF326188.1	Rift Valley fever virus	GenBank						08-FEB-2012	2007000260	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					mosquito		31-Dec-2006			Rift Valley fever virus strain 2007000260 segment L, complete sequence	2006-12-31		2007000260	rvf		
MG659965.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1143/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA1143/10 segment S, complete sequence	2010		SA1143/10	rvf		
ON060835.1	Rift Valley fever virus	GenBank						25-MAR-2023	2021000843_S|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1589	partial		S			Uganda		Homo sapiens					Rift Valley fever virus isolate 2021000843_S|Uganda nonstructural protein and nucleocapsid protein genes, partial cds		Uganda	2021000843_S|Uganda	rvf	1.3733	32.2903
HM587125.1	Rift Valley fever virus	GenBank						09-DEC-2011	SA51	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					ovine		1951			Rift Valley fever virus isolate SA51 segment M glycoprotein G2 gene, partial cds	1951		SA51	rvf		
PP747234.1	Rift Valley fever virus	GenBank						15-JAN-2025	08HAB	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Bos taurus		01-Jan-2018			Rift Valley fever virus strain 08HAB glycoprotein gene, partial cds	2018-01-01		08HAB	rvf		
MG659974.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1601/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA1601/10 segment S, complete sequence	2010		SA1601/10	rvf		
KY126671.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA573/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA573/10 segment L, complete sequence	2010		SA573/10	rvf		
PP746471.1	Rift Valley fever virus	GenBank						12-FEB-2025	JU-KB	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1665	partial		S					Homo sapiens		11-Jan-2007			Rift Valley fever virus strain JU-KB nonstructural protein gene, complete cds; and nucleocapsid gene, partial cds	2007-01-11		JU-KB	rvf		
PP746441.1	Rift Valley fever virus	GenBank						12-FEB-2025	KEM-ND	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain KEM-ND glycoprotein gene, partial cds	2007-01-01		KEM-ND	rvf		
KX944850.1	Rift Valley fever virus	GenBank						25-OCT-2018	M12/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6329	partial		L					ovine		2010			Rift Valley fever virus isolate M12/10 segment L polymerase gene, complete cds	2010		M12/10	rvf		
EU574020.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001107	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		25-Jan-2007			Rift Valley fever virus strain 2007001107 segment L, complete sequence	2007-01-25		2007001107	rvf		
MG659881.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1224/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA1224/10 segment L, complete sequence	2010		SA1224/10	rvf		
MG659949.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA591/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA591/10 segment S, complete sequence	2010		SA591/10	rvf		
GU135857.1	Rift Valley fever virus	GenBank						03-APR-2012	FI-28	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Anopheles squamosus	unfed female mosquitos	19-Dec-2008			Rift Valley fever virus strain FI-28 segment M glycoprotein Gn gene, partial cds	2008-12-19		FI-28	rvf		
GQ443198.1	Rift Valley fever virus	GenBank						25-JUL-2016	0853-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0853-08 segment L polymerase gene, partial cds	2008-03-23		0853-08	rvf		
PP746308.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P104	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5924	partial		M					Bos taurus		2022-08-08			Rift Valley fever virus strain Rwanda2022P104 polymerase gene, partial cds	2022-08-08		Rwanda2022P104	rvf		
KX944871.1	Rift Valley fever virus	GenBank						25-OCT-2018	M85/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6397	partial		L					bovine		2008			Rift Valley fever virus isolate M85/08 segment L polymerase gene, complete cds	2008		M85/08	rvf		
KX944863.1	Rift Valley fever virus	GenBank						25-OCT-2018	M37/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					Buffalo		2008			Rift Valley fever virus isolate M37/08 segment L polymerase gene, complete cds	2008		M37/08	rvf		
ON060814.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902760_M|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3867	partial		M			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902760_M|Uganda|2018 glycoprotein gene, complete cds	2018	Uganda	201902760_M|Uganda|2018	rvf	1.3733	32.2903
EU574036.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007002476	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					bovine		21-Feb-2007			Rift Valley fever virus strain 2007002476 segment M, complete sequence	2007-02-21		2007002476	rvf		
OK415593.1	Rift Valley fever virus	GenBank						30-APR-2022	2018/MRT/1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	461	partial		unknown					mosquito		2018			Rift Valley fever virus isolate 2018/MRT/1 glycoprotein gene, partial cds	2018		2018/MRT/1	rvf		
GQ443223.1	Rift Valley fever virus	GenBank						25-JUL-2016	0448-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	26-Feb-2008			Rift Valley fever virus strain 0448-08 segment M glycoprotein G2 gene, partial cds	2008-02-26		0448-08	rvf		
MH753240.1	Phlebovirus riftense	GenBank						02-FEB-2019	SA344-18	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1122	partial		S					Homo sapiens	whole blood	21-May-2018			Phlebovirus riftense isolate SA344-18 polymerase gene, partial cds	2018-05-21		SA344-18	rvf		
KU978781.1	Rift Valley fever virus	GenBank						25-MAR-2017	SAUDI 200010901	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6441	complete		L			Saudi Arabia		Homo sapiens		25-Aug-2000	SAMN04017542	PRJNA257008	Rift Valley fever virus isolate SAUDI 200010901 segment L, complete sequence	2000-08-25	Saudi Arabia	SAUDI 200010901	rvf	23.8859	45.0792
JF311373.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803167	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		Feb-1991			Rift Valley fever virus strain 200803167 segment L, complete sequence	1991		200803167	rvf		
ON060827.1	Rift Valley fever virus	GenBank						25-MAR-2023	2020000159_S|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1618	partial		S			Uganda		Homo sapiens					Rift Valley fever virus isolate 2020000159_S|Uganda nonstructural protein gene, complete cds; and nucleocapsid protein gene, partial cds		Uganda	2020000159_S|Uganda	rvf	1.3733	32.2903
OR805806.1	Rift Valley fever virus	GenBank						30-MAY-2024	ZH548	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens	serum	1977			Rift Valley fever virus strain ZH548 segment M, complete sequence	1977		ZH548	rvf		
HM587111.1	Rift Valley fever virus	GenBank						09-DEC-2011	VRL763/70	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					bovine fetus		1970			Rift Valley fever virus isolate VRL763/70 segment M glycoprotein G2 gene, partial cds	1970		VRL763/70	rvf		
MG659869.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA705/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA705/10 segment L, complete sequence	2010		SA705/10	rvf		
KF717593.1	Rift Valley fever virus	GenBank						25-DEC-2013	211977	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	601	partial		unknown					Homo sapiens	human serum	05-Dec-2010			Rift Valley fever virus isolate 211977 segment S nonstructural protein (NSs) gene, partial cds	2010-12-05		211977	rvf		
GQ443166.1	Rift Valley fever virus	GenBank						25-JUL-2016	1627-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Bos taurus	serum	18-Apr-2008			Rift Valley fever virus strain 1627-08 segment S nonstructural protein gene, partial cds	2008-04-18		1627-08	rvf		
KX944858.1	Rift Valley fever virus	GenBank						25-OCT-2018	M25/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6398	partial		L					ovine		2010			Rift Valley fever virus isolate M25/10 segment L polymerase gene, complete cds	2010		M25/10	rvf		
MG659871.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA770/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA770/10 segment L, complete sequence	2010		SA770/10	rvf		
PP747229.1	Rift Valley fever virus	GenBank						15-JAN-2025	08HAB	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6253	partial		L					Bos taurus		01-Jan-2018			Rift Valley fever virus strain 08HAB polymerase gene, partial cds	2018-01-01		08HAB	rvf		
PV231435.1	Rift Valley fever virus	GenBank						23-MAR-2025	BOT_BOV/2014/1894_S3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3096	complete		S					bovine		2014			Rift Valley fever virus isolate BOT_BOV/2014/1894_S3 segment M, complete sequence	2014		BOT_BOV/2014/1894_S3	rvf		
PQ436085.1	Rift Valley fever virus	GenBank						18-NOV-2024	CD300/Kabale1-2022	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5850	partial		M					Homo sapiens		2022-03-10			Rift Valley fever virus isolate CD300/Kabale1-2022 segment L polymerase gene, partial cds	2022-03-10		CD300/Kabale1-2022	rvf		
HM587086.1	Rift Valley fever virus	GenBank						09-DEC-2011	CAR R1662	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown			Central African Republic		Homo sapiens		1985			Rift Valley fever virus isolate CAR R1662 segment M glycoprotein G2 gene, partial cds	1985	Central African Republic	CAR R1662	rvf		
MG659925.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA165/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA165/10 segment S, complete sequence	2010		SA165/10	rvf		
MG659916.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU97/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SPU97/10 segment S, complete sequence	2010		SPU97/10	rvf		
EU574029.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000094	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		12-Jan-2007			Rift Valley fever virus strain 2007000094 segment L, complete sequence	2007-01-12		2007000094	rvf		
MG659740.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA85/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA85/10 segment M, complete sequence	2010		SA85/10	rvf		
